POS,PLAYER,TEAM,GP,G,A,P,+/-,PIM
D,D.Savard,CBJ,2,0,0,0,0,0
RW,D.Smith-Pelly,WSH,5,0,0,0,-3,0
RW,C.Atkinson,CBJ,2,0,0,0,-2,0
D,M.Kempny,WSH,5,0,0,0,-2,0
D,J.Johnson,CBJ,2,0,0,0,0,2
LW,T.Vanek,CBJ,2,0,0,0,-2,0
D,B.Orpik,WSH,5,0,1,1,-4,0
C,P.Dubois,CBJ,2,0,0,0,-1,0
RW,N.Foligno,CBJ,2,0,0,0,0,0
D,Z.Werenski,CBJ,2,0,0,0,-4,0
D,M.Dumba,MIN,2,1,2,3,1,0
C,M.Granlund,MIN,2,1,1,2,2,2
LW,Z.Parise,MIN,2,1,1,2,2,0
RW,P.Laine,WPG,2,0,2,2,1,0
C,P.Stastny,WPG,2,1,0,1,2,0
D,J.Spurgeon,MIN,2,1,0,1,2,0
D,J.Morissey,WPG,2,1,0,1,-2,0
LW,M.Perreault,WPG,2,1,0,1,-1,0
C,C.Coyle,MIN,2,1,0,1,1,0
RW,N.Ehlers,WPG,2,0,1,1,2,0
C,M.Cullen,MIN,2,0,1,1,1,0
C,B.Little,WPG,2,0,1,1,-2,0
LW,D.Winnik,MIN,2,0,1,1,0,0
D,N.Prosser,MIN,2,0,1,1,0,0
RW,T.Ennis,MIN,2,0,0,0,2,0
D,T.Enstrom,WPG,2,0,0,0,1,0
D,D.Byfuglien,WPG,2,0,0,0,0,0
RW,B.Wheeler,WPG,2,0,0,0,-2,0
D,T.Myers,WPG,2,0,0,0,0,0
D,D.Kulikov,WPG,2,0,0,0,-2,0
C,A.Lowry,WPG,2,0,0,0,0,0
RW,J.Armia,WPG,2,0,0,0,-1,0
C,M.Scheifele,WPG,2,0,0,0,-3,0
LW,B.Tanev,WPG,2,0,0,0,-1,0
D,R.Suter,MIN,2,0,0,0,2,0
C,M.Koivu,MIN,2,0,0,0,2,0
C,E.Staal,MIN,2,0,0,0,-1,0
RW,N.Niederreiter,MIN,2,0,0,0,0,0
C,A.Copp,WPG,2,0,0,0,-2,0
LW,M.Foligno,MIN,2,0,0,0,1,0
LW,K.Connor,WPG,2,0,0,0,-2,2
D,J.Brodin,MIN,2,0,0,0,1,0
D,J.Trouba,WPG,2,0,0,0,-3,0
LW,J.Zucker,MIN,2,0,0,0,0,0
D,G.Olofsson,MIN,2,0,0,0,0,0
C,J.Eriksson Ek,MIN,2,0,0,0,-1,2
RW,K.Palmieri,NJD,2,1,2,3,1,0
LW,A.Killorn,TBL,2,1,1,2,1,0
LW,V.Gourde,TBL,2,1,1,2,2,0
LW,J.Miller,TBL,2,1,1,2,-1,0
D,D.Girardi,TBL,2,0,2,2,1,0
C,A.Cirelli,TBL,2,0,2,2,2,0
D,A.Stralman,TBL,2,0,2,2,1,0
LW,P.Maroon,NJD,2,0,2,2,0,5
C,S.Stamkos,TBL,2,1,0,1,1,2
D,R.McDonagh,TBL,2,1,0,1,1,2
C,B.Point,TBL,2,1,0,1,-2,0
LW,T.Hall,NJD,2,1,0,1,-1,0
LW,P.Zacha,NJD,2,1,0,1,1,0

E,T.Zajac,NJD,2,0,1,1,-1,0
C,T.Johnson,TBL,2,0,1,1,1,2
LW,O.Palat,TBL,2,0,1,1,1,0
D,M.Sergachev,TBL,2,0,1,1,-2,4
D,S.Vatanen,NJD,2,0,1,1,-2,2
RW,R.Callahan,TBL,2,0,0,0,1,0
RW,D.Stafford,NJD,2,0,0,0,0,0
D,A.Greene,NJD,2,0,0,0,-1,0
C,B.Boyle,NJD,2,0,0,0,-1,0
LW,M.Grabner,NJD,2,0,0,0,-1,0
D,B.Lovejoy,NJD,2,0,0,0,0,0
LW,C.Kunitz,TBL,2,0,0,0,0,0
LW,M.Johansson,NJD,2,0,0,0,-2,0

D,V.Hedman,TBL,2,0,0,0,1,9
D,J.Moore,NJD,2,0,0,0,0,0
C,C.Paquette,TBL,2,0,0,0,0,0
D,D.Severson,NJD,2,0,0,0,0,2
RW,N.Kucherov,TBL,2,0,0,0,-1,0
D,A.Sustr,TBL,2,0,0,0,1,2
C,N.Hischier,NJD,2,0,0,0,-3,0
LW,M.Wood,NJD,2,0,0,0,1,0
LW,J.Bratt,NJD,2,0,0,0,-1,0
D,W.Butcher,NJD,2,0,0,0,0,0

C,R.Getzlaf,ANA,3,1,1,2,1,2
D,D.DeMelo,SJS,3,1,1,2,2,0
LW,J.Donskoi,SJS,3,1,1,2,1,0
C,C.Tierney,SJS,3,1,1,2,2,0
D,C.Fowler,ANA,3,0,2,2,-1,4
RW,M.Boedker,SJS,3,0,2,2,2,0
D,F.Beauchemin,ANA,3,1,0,1,-1,0
C,R.Rakell,ANA,3,1,0,1,0,0
RW,J.Hansen,SJS,3,1,0,1,1,0
D,J.Manson,ANA,3,0,1,1,2,0
D,B.Montour,ANA,3,0,1,1,1,4
D,M.Vlasic,SJS,3,0,1,1,-1,0
C,T.Hertl,SJS,3,0,1,1,1,2
D,K.Bieksa,ANA,3,0,1,1,-1,0
RW,J.Silfverberg,ANA,3,0,1,1,2,0
D,H.Lindholm,ANA,3,0,1,1,4,0
C,R.Kesler,ANA,3,0,0,0,2,0
C,A.Vermette,ANA,3,0,0,0,0,0
RW,C.Perry,ANA,3,0,0,0,1,0
RW,P.Eaves,ANA,3,0,0,0,0,2
RW,J.Ward,SJS,3,0,0,0,0,0
D,B.Burns,SJS,3,0,0,0,-3,0
C,J.Thornton,SJS,3,0,0,0,-4,0
RW,O.Kase,ANA,3,0,0,0,1,0
RW,J.Brown,ANA,3,0,0,0,-2,0
LW,A.Cogliano,ANA,3,3,0,3,3,0
LW,E.Kane,SJS,3,0,0,0,-4,0
C,L.Couture,SJS,3,0,0,0,1,0
C,M.Karlsson,SJS,3,0,0,0,-1,0
LW,N.Ritchie,ANA,3,0,0,0,-1,0
D,B.Dillon,SJS,3,0,0,0,2,2
C,A.Henrique,ANA,3,0,0,0,-1,2
D,J.Braun,SJS,3,0,0,0,-1,0
RW,J.Pavelski,SJS,3,0,0,0,-5,2
LW,K.Labanc,SJS,3,0,0,0,0,2
D,J.Ryan,SJS,3,0,0,0,-3,0
RW,J.Neal,VGK,3,2,2,4,4,2
C,W.Karlsson,VGK,3,2,1,3,3,0
LW,D.Perron,VGK,3,1,2,3,1,2
D,D.Doughty,LAK,3,0,3,3,-2,2
C,C.Eakin,VGK,3,2,0,2,1,2
RW,D.Brown,LAK,3,2,0,2,-2,2
D,S.Theodore,VGK,3,1,1,2,2,0
LW,A.Kempe,LAK,3,1,1,2,-1,0
D,J.Merrill,VGK,3,0,2,2,1,2
D,J.Muzzin,LAK,3,0,2,2,-1,2
LW,T.Rieder,LAK,3,0,2,2,1,2
C,A.Kopitar,LAK,3,1,0,1,-4,0
RW,T.Lewis,LAK,3,1,0,1,1,0

C,P.Bellemare,VGK,3,1,0,1,0,0
C,J.Carter,LAK,3,1,0,1,-2,0
RW,J.Marchessault,VGK,3,1,0,1,3,2
RW,K.Clifford,LAK,3,1,0,1,-2,0
RW,T.Toffoli,LAK,3,1,0,1,-1,2
RW,A.Tuch,VGK,3,0,1,1,0,0
C,A.Iafallo,LAK,3,0,1,1,2,15
D,D.Phaneuf,LAK,3,0,1,1,0,0
C,T.Mitchell,LAK,3,0,1,1,-1,0
C,M.Grabovski,VGK,3,0,1,1,1,0
D,D.Engelland,VGK,3,0,1,1,1,2

LW,T.Pearson,LAK,3,0,1,1,-2,0
D,B.McNabb,VGK,3,0,1,1,0,0
D,C.Miller,VGK,3,0,1,1,2,6
D,D.Forbort,LAK,3,0,1,1,-2,0
D,N.Schmidt,VGK,3,0,1,1,2,0
RW,R.Smith,VGK,3,0,0,0,-2,0
RW,R.Reaves,VGK,3,0,0,0,-1,0
LW,T.Tatar,VGK,3,0,0,0,1,0
D,A.Martinez,LAK,3,0,0,0,-3,0
C,E.Haula,VGK,3,0,0,0,0,0
D,C.Folin,LAK,3,0,0,0,1,0
C,N.Thompson,LAK,3,0,0,0,-2,0

